##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	4_2C_mbnl_S4_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	9265284
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.09404018268625	32.0	32.0	32.0	32.0	32.0
2	31.314725808728582	32.0	32.0	32.0	32.0	32.0
3	35.6170510261747	37.0	37.0	37.0	32.0	37.0
4	35.88196951113425	37.0	37.0	37.0	32.0	37.0
5	36.177842794673104	37.0	37.0	37.0	37.0	37.0
6	39.38356320216412	41.0	41.0	41.0	37.0	41.0
7	39.62049603660287	41.0	41.0	41.0	37.0	41.0
8	39.682386853980944	41.0	41.0	41.0	37.0	41.0
9	40.003284518855544	41.0	41.0	41.0	37.0	41.0
10-11	40.142523747787976	41.0	41.0	41.0	37.0	41.0
12-13	40.15484047763674	41.0	41.0	41.0	37.0	41.0
14-15	40.13940490113417	41.0	41.0	41.0	37.0	41.0
16-17	40.10434342865259	41.0	41.0	41.0	37.0	41.0
18-19	40.09076737421108	41.0	41.0	41.0	37.0	41.0
20-21	40.08004584640902	41.0	41.0	41.0	37.0	41.0
22-23	40.09452084793084	41.0	41.0	41.0	37.0	41.0
24-25	40.090936014481585	41.0	41.0	41.0	37.0	41.0
26-27	40.02666027290691	41.0	41.0	41.0	37.0	41.0
28-29	39.992308114894264	41.0	41.0	41.0	37.0	41.0
30-31	39.969303477367774	41.0	41.0	41.0	37.0	41.0
32-33	39.96323884945135	41.0	41.0	41.0	37.0	41.0
34-35	40.00611443750672	41.0	41.0	41.0	37.0	41.0
36-37	40.00076214609288	41.0	41.0	41.0	37.0	41.0
38-39	39.984075123871	41.0	41.0	41.0	37.0	41.0
40-41	39.97717404021291	41.0	41.0	41.0	37.0	41.0
42-43	39.95286987425318	41.0	41.0	41.0	37.0	41.0
44-45	39.907443042220834	41.0	41.0	41.0	37.0	41.0
46-47	39.912636191184205	41.0	41.0	41.0	37.0	41.0
48-49	39.914246557364024	41.0	41.0	41.0	37.0	41.0
50-51	39.90671737639127	41.0	41.0	41.0	37.0	41.0
52-53	39.86038781973656	41.0	41.0	41.0	37.0	41.0
54-55	39.86277927368444	41.0	41.0	41.0	37.0	41.0
56-57	39.83873305988246	41.0	41.0	41.0	37.0	41.0
58-59	39.82692462530021	41.0	41.0	41.0	37.0	41.0
60-61	39.807921052393	41.0	41.0	41.0	37.0	41.0
62-63	39.76909229118071	41.0	41.0	41.0	37.0	41.0
64-65	39.75655225463137	41.0	41.0	41.0	37.0	41.0
66-67	39.73758224788361	41.0	41.0	41.0	37.0	41.0
68-69	39.717374772322145	41.0	41.0	41.0	37.0	41.0
70-71	39.62745912591562	41.0	41.0	41.0	37.0	41.0
72-73	39.63341490665586	41.0	41.0	41.0	37.0	41.0
74-75	39.60265324840556	41.0	41.0	41.0	37.0	41.0
76-77	39.24244734430159	41.0	41.0	41.0	34.5	41.0
78-79	39.33441818944783	41.0	41.0	41.0	37.0	41.0
80-81	39.47853109521522	41.0	41.0	41.0	37.0	41.0
82-83	39.52015135207944	41.0	41.0	41.0	37.0	41.0
84-85	39.48544054343073	41.0	41.0	41.0	37.0	41.0
86-87	39.45073588677908	41.0	41.0	41.0	37.0	41.0
88-89	39.310284498564755	41.0	41.0	41.0	37.0	41.0
90-91	39.3298536234831	41.0	41.0	41.0	37.0	41.0
92-93	39.271254610220254	41.0	41.0	41.0	37.0	41.0
94-95	39.18810572886919	41.0	41.0	41.0	37.0	41.0
96-97	39.17341119818885	41.0	41.0	41.0	37.0	41.0
98-99	38.971714790393904	41.0	41.0	41.0	32.0	41.0
100-101	38.509940062279796	41.0	39.0	41.0	34.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1103	22-23	0.11889761882472527
1103	24-25	0.13969403788787105
1103	26-27	0.11240027271998798
1103	28-29	0.10167228670575668
1103	30-31	0.1220166212995153
1103	32-33	0.08404624993749366
1103	34-35	0.004891233050422272
1103	36-37	0.015459983665671473
1103	38-39	0.05574099473866312
1103	40-41	0.023302001413100015
1103	42-43	0.04942460630699941
1103	44-45	0.10578815261476393
1103	46-47	0.057636802407863286
1103	48-49	0.03844000209413423
1103	50-51	0.02911573110675647
1103	52-53	0.06743193115989499
1103	54-55	0.11554822134630172
1103	56-57	0.11624462680162395
1103	58-59	0.09092282923308659
1103	60-61	0.02924619145382934
1103	62-63	0.11097017603523085
1103	64-65	0.16562360216164507
1103	66-67	0.16314451823956944
1103	68-69	0.1484806508563139
1103	70-71	0.1794122836417671
1103	72-73	0.19589073335209406
1103	74-75	0.17492238014475703
1103	76-77	0.1788833075554379
1103	78-79	0.23794669351033093
1103	80-81	0.24043301917982518
1103	82-83	0.2087779962382399
1103	84-85	0.23408516886166808
1103	86-87	0.2182664696160117
1103	88-89	0.3224280735084122
1103	90-91	0.3483150071582273
1103	92-93	0.3766194247399923
1103	94-95	0.4129788505939018
1103	96-97	0.4002564982975372
1103	98-99	0.4814613408262147
1103	100-101	0.35593622277766457
1104	1	-0.13194437489109845
1104	2	-0.0810193835716504
1104	3	-0.07783322119676228
1104	4	-0.11223932852809781
1104	5	0.10868626497917688
1104	6	-0.08229603853668976
1104	7	0.013046691509082109
1104	8	0.03368428361054754
1104	9	0.004668412467459859
1104	10-11	-0.008589229846442947
1104	12-13	-0.002065071153673159
1104	14-15	0.021359104669215867
1104	16-17	0.0035475353249267982
1104	18-19	0.04832311416232926
1104	20-21	0.05378222366450558
1104	22-23	0.06350997749387943
1104	24-25	0.07166671646879763
1104	26-27	0.029455481691421426
1104	28-29	-0.01490761716522826
1104	30-31	0.06857764715592651
1104	32-33	0.07326885833797547
1104	34-35	0.011007404509420837
1104	36-37	0.013296919786974115
1104	38-39	0.01787970570809705
1104	40-41	-0.022080060583171246
1104	42-43	-0.006378226764702788
1104	44-45	0.06281748696176948
1104	46-47	0.011224230813667191
1104	48-49	0.048727820895116736
1104	50-51	0.0036733598182152605
1104	52-53	-0.002688568599097607
1104	54-55	0.034149385324617754
1104	56-57	0.033264957739142176
1104	58-59	0.030889813566780333
1104	60-61	0.02895503287790291
1104	62-63	0.1130367768673537
1104	64-65	0.040343452212425746
1104	66-67	0.049904346155997814
1104	68-69	0.02645263840765466
1104	70-71	0.06311915791307854
1104	72-73	0.052396646879948605
1104	74-75	0.11163601858241634
1104	76-77	0.0618493922386989
1104	78-79	0.18572753706417444
1104	80-81	0.18275870518234427
1104	82-83	0.12670661620197876
1104	84-85	0.18734716485538172
1104	86-87	0.1757805863366002
1104	88-89	0.23486157255592843
1104	90-91	0.2419429090444538
1104	92-93	0.32093833032036656
1104	94-95	0.3737883624962066
1104	96-97	0.30753760759768767
1104	98-99	0.5066106258603327
1104	100-101	0.3905636440965168
1105	1	-0.11269000695398645
1105	2	-0.05128170256211462
1105	3	-0.08779850944440426
1105	4	-0.09199955843154584
1105	5	0.1420722870064992
1105	6	-0.09443584018676887
1105	7	0.0023424233805258154
1105	8	0.03744644517770013
